Country,Latitude,Longitude,Arrive,Latitude,Longitude,Amount,Year
Norfolk Island,-29.040835,167.954712,Australia,-25.274398,133.775136,0,2019
"Aust E T, nec",34.783474,135.447599,Australia,-25.274398,133.775136,0,2019
New Zealand,-40.900557,174.885971,Australia,-25.274398,133.775136,4400,2019
New Caledonia,-20.904305,165.618042,Australia,-25.274398,133.775136,0,2019
PNG,39.9043023,-84.257727,Australia,-25.274398,133.775136,230,2019
Solomon Islands,-9.64571,160.156194,Australia,-25.274398,133.775136,30,2019
Vanuatu,-15.376706,166.959158,Australia,-25.274398,133.775136,120,2019
Guam,13.444304,144.793731,Australia,-25.274398,133.775136,10,2019
Kiribati,-3.370417,-168.734039,Australia,-25.274398,133.775136,80,2019
Marshall Is,7.131474,171.184478,Australia,-25.274398,133.775136,0,2019
"Micronesia, F S",7.425554,150.550812,Australia,-25.274398,133.775136,0,2019
Nauru,-0.522778,166.931503,Australia,-25.274398,133.775136,50,2019
N Mariana Is,15.0979,145.6739,Australia,-25.274398,133.775136,0,2019
Palau,7.51498,134.58252,Australia,-25.274398,133.775136,0,2019
Cook Islands,-21.236736,-159.777671,Australia,-25.274398,133.775136,110,2019
Fiji,-17.713371,178.065032,Australia,-25.274398,133.775136,1750,2019
French Poly,-17.679742,-149.406843,Australia,-25.274398,133.775136,0,2019
Niue,-19.054445,-169.867233,Australia,-25.274398,133.775136,10,2019
Samoa,-13.759029,-172.104629,Australia,-25.274398,133.775136,1210,2019
Samoa American,-14.270972,-170.132217,Australia,-25.274398,133.775136,20,2019
Tokelau,-9.2002,-171.8484,Australia,-25.274398,133.775136,30,2019
Tonga,-21.178986,-175.198242,Australia,-25.274398,133.775136,720,2019
Tuvalu,-7.109535,177.64933,Australia,-25.274398,133.775136,20,2019
Wallis/Futuna,-14.2938,-178.1165,Australia,-25.274398,133.775136,0,2019
Pitcairn Is,-24.3767537,-128.3242376,Australia,-25.274398,133.775136,0,2019
"Polynesia, nec",-16.8395019,-148.3716902,Australia,-25.274398,133.775136,0,2019
Adelie Land,37.2249066,-95.7098288,Australia,-25.274398,133.775136,0,2019
Argentinian A T,37.6830753,-97.2522143,Australia,-25.274398,133.775136,0,2019
Australian A T,35.9842464,-94.6404324,Australia,-25.274398,133.775136,0,2019
British A T,37.6830753,-97.2522143,Australia,-25.274398,133.775136,0,2019
Chilean A T,37.6830753,-97.2522143,Australia,-25.274398,133.775136,0,2019
Queen Maud Land,37.2249066,-95.7098288,Australia,-25.274398,133.775136,0,2019
Ross Dependency,39.0560324,-94.59049,Australia,-25.274398,133.775136,0,2019
UK,55.378051,-3.435973,Australia,-25.274398,133.775136,7960,2019
Ireland,53.1423672,-7.6920536,Australia,-25.274398,133.775136,1270,2019
Austria,47.516231,14.550072,Australia,-25.274398,133.775136,70,2019
Belgium,50.503887,4.469936,Australia,-25.274398,133.775136,70,2019
France,46.227638,2.213749,Australia,-25.274398,133.775136,840,2019
Germany,51.165691,10.451526,Australia,-25.274398,133.775136,190,2019
Liechtenstein,47.166,9.555373,Australia,-25.274398,133.775136,0,2019
Luxembourg,49.815273,6.129583,Australia,-25.274398,133.775136,10,2019
Monaco,43.7384176,7.4246158,Australia,-25.274398,133.775136,0,2019
Netherlands,52.132633,5.291266,Australia,-25.274398,133.775136,160,2019
Switzerland,46.818188,8.227512,Australia,-25.274398,133.775136,210,2019
Denmark,56.26392,9.501785,Australia,-25.274398,133.775136,100,2019
Faroe Islands,61.892635,-6.9118061,Australia,-25.274398,133.775136,0,2019
Finland,61.92411,25.7481511,Australia,-25.274398,133.775136,30,2019
Greenland,71.706936,-42.604303,Australia,-25.274398,133.775136,0,2019
Iceland,64.963051,-19.020835,Australia,-25.274398,133.775136,10,2019
Norway,60.472024,8.468946,Australia,-25.274398,133.775136,-10,2019
Sweden,60.128161,18.643501,Australia,-25.274398,133.775136,80,2019
Aland Islands,60.1785247,19.9156105,Australia,-25.274398,133.775136,0,2019
Andorra,42.506285,1.521801,Australia,-25.274398,133.775136,0,2019
Gibraltar,36.140751,-5.353585,Australia,-25.274398,133.775136,0,2019
Holy See,38.9246496,-77.0656832,Australia,-25.274398,133.775136,0,2019
Italy,41.87194,12.56738,Australia,-25.274398,133.775136,240,2019
Malta,35.937496,14.375416,Australia,-25.274398,133.775136,20,2019
Portugal,39.399872,-8.224454,Australia,-25.274398,133.775136,0,2019
San Marino,43.94236,12.457777,Australia,-25.274398,133.775136,0,2019
Spain,40.463667,-3.74922,Australia,-25.274398,133.775136,740,2019
Albania,41.153332,20.168331,Australia,-25.274398,133.775136,60,2019
Bosnia/Herzegov,43.915886,17.679076,Australia,-25.274398,133.775136,-20,2019
Bulgaria,42.733883,25.48583,Australia,-25.274398,133.775136,30,2019
Croatia,45.1,15.2000001,Australia,-25.274398,133.775136,-20,2019
Cyprus,35.126413,33.429859,Australia,-25.274398,133.775136,20,2019
North Macedonia,41.608635,21.745275,Australia,-25.274398,133.775136,170,2019
Greece,39.074208,21.824312,Australia,-25.274398,133.775136,-130,2019
Moldova,47.411631,28.369885,Australia,-25.274398,133.775136,40,2019
Romania,45.943161,24.96676,Australia,-25.274398,133.775136,130,2019
Slovenia,46.151241,14.995463,Australia,-25.274398,133.775136,20,2019
Montenegro,42.708678,19.37439,Australia,-25.274398,133.775136,10,2019
Serbia,44.016521,21.005859,Australia,-25.274398,133.775136,110,2019
Kosovo,42.6026359,20.902977,Australia,-25.274398,133.775136,0,2019
Belarus,53.709807,27.953389,Australia,-25.274398,133.775136,50,2019
Czechia,49.817492,15.472962,Australia,-25.274398,133.775136,120,2019
Estonia,58.595272,25.0136071,Australia,-25.274398,133.775136,80,2019
Hungary,47.162494,19.5033041,Australia,-25.274398,133.775136,40,2019
Latvia,56.879635,24.603189,Australia,-25.274398,133.775136,40,2019
Lithuania,55.169438,23.881275,Australia,-25.274398,133.775136,80,2019
Poland,51.919438,19.145136,Australia,-25.274398,133.775136,300,2019
Russia,61.52401,105.318756,Australia,-25.274398,133.775136,490,2019
Slovakia,48.669026,19.699024,Australia,-25.274398,133.775136,10,2019
Ukraine,48.379433,31.1655799,Australia,-25.274398,133.775136,350,2019
